match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-Wembledon,M. Vondrousova,O. Jabeur,0:00:00,1,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:00:22,1,1,2,0,0,0,0,15,0,2,1,2,1,1,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:01:36,1,1,3,0,0,0,0,15,15,2,1,1,2,1,0,0,0,0,1,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:02:05,1,1,4,0,0,0,0,15,30,2,1,2,2,2,0,0,0,0,0,1,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:03:24,1,1,5,0,0,0,0,30,30,2,1,2,2,3,0,0,0,0,0,0,B,0,0,1,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:03:50,1,1,6,0,0,0,0,30,40,2,2,2,2,4,2,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:04:29,1,2,7,0,0,0,1,0,0,1,1,1,3,4,0,0,0,0,0,1,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:04:50,1,2,8,0,0,0,1,15,0,1,2,2,3,5,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:05:17,1,2,9,0,0,0,1,15,15,1,1,2,3,6,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:05:51,1,2,10,0,0,0,1,15,30,1,1,2,3,7,0,0,0,0,0,1,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:06:16,1,2,11,0,0,0,1,15,40,1,1,1,4,7,0,0,0,0,0,0,F,0,0,0,0,,,,,0,1,0,0,0,1,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:06:35,1,2,12,0,0,0,1,30,40,1,1,2,4,8,2,0,0,0,0,0,F,0,0,1,0,,,,,0,1,0,1,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:07:15,1,3,13,0,0,0,2,0,0,2,1,2,4,9,0,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:07:37,1,3,14,0,0,0,2,0,15,2,1,1,5,9,0,0,0,0,0,1,F,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:08:05,1,3,15,0,0,0,2,15,15,2,1,2,5,10,0,0,0,0,1,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:08:32,1,3,16,0,0,0,2,15,30,2,2,1,5,11,0,0,0,0,0,0,F,0,0,1,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:09:02,1,3,17,0,0,0,2,15,40,2,1,1,6,11,0,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:09:36,1,3,18,0,0,0,2,30,40,2,1,1,7,11,0,0,0,0,0,0,B,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:10:06,1,3,19,0,0,0,2,40,40,2,1,1,8,11,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:10:42,1,3,20,0,0,0,2,AD,40,2,1,2,8,12,0,0,0,0,0,0,F,0,0,0,0,,,,,1,0,0,0,1,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:11:27,1,3,21,0,0,0,2,40,40,2,1,2,8,13,0,0,0,0,0,0,F,0,0,0,0,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:11:53,1,3,22,0,0,0,2,40,AD,2,1,1,9,13,0,0,0,0,0,1,F,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:12:12,1,3,23,0,0,0,2,40,40,2,2,1,10,13,0,0,0,0,0,1,B,0,0,0,1,,,,,0,0,0,0,0,0,,,,,,,
2023-Wembledon,M. Vondrousova,O. Jabeur,0:12:59,1,3,24,0,0,0,2,AD,40,2,2,1,11,13,1,0,0,0,1,0,F,0,0,0,1,,,,,1,0,1,0,0,0,,,,,,,
